코드,시군구,위도,경도,코드종류
46130,여수시,34.739833,127.746362,B
46150,순천시,34.983879,127.427539,B
46170,나주시,35.018688,126.726258,B
46230,광양시,34.91155,127.631918,B
46710,담양군,35.321461,126.980972,B
46720,곡성군,35.282013,127.295034,B
46730,구례군,35.2097,127.466512,B
46770,고흥군,34.599714,127.239202,B
46780,보성군,34.770325,127.082079,B
46790,화순군,35.064362,126.983225,B
46800,장흥군,34.680281,126.898943,B
46810,강진군,34.641776,126.773017,B
46820,해남군,34.570878,126.604897,B
46830,영암군,34.793945,126.683531,B
46840,무안군,34.99122,126.476519,B
46860,함평군,35.065996,126.513305,B
46870,영광군,35.280046,126.512988,B
46880,장성군,35.324555,126.80076,B
46890,완도군,34.313417,126.753179,B
46900,진도군,34.483517,126.271357,B
46910,신안군,35.092967,126.225324,B
47111,포항시 남구,36.013801,129.355061,B
47113,포항시 북구,36.037233,129.361762,B
47130,경주시,35.845893,129.212176,B
47150,김천시,36.120719,128.129401,B
47170,안동시,36.565787,128.731319,B
47190,구미시,36.128367,128.335981,B
47210,영주시,36.826608,128.620781,B
47230,영천시,35.974338,128.960054,B
47250,상주시,36.41501,128.163723,B
47280,문경시,36.59564,128.198593,B
47290,경산시,35.815292,128.738251,B
47720,군위군,36.234539,128.57038,B
47730,의성군,36.355024,128.695292,B
47750,청송군,36.434822,129.05664,B
47760,영양군,36.668354,129.11652,B
47770,영덕군,36.434475,129.354578,B
47820,청도군,35.648975,128.706438,B
47830,고령군,35.733657,128.26878,B
47840,성주군,35.917791,128.284526,B
47850,칠곡군,35.988619,128.399599,B
47900,예천군,36.657283,128.455274,B
47920,봉화군,36.901334,128.734757,B
47930,울진군,36.992469,129.40077,B
47940,울릉군,37.487612,130.905506,B
48121,창원시 의창구,35.266227,128.621524,B
48123,창원시 성산구,35.230329,128.705077,B
48125,창원시 마산합포구,35.165244,128.573802,B
48127,창원시 마산회원구,35.251498,128.595627,B
48129,창원시 진해구,35.154954,128.655751,B
48170,진주시,35.182623,128.082982,B
48220,통영시,34.839457,128.412177,B
48240,사천시,34.930935,128.069966,B
48250,김해시,35.236482,128.885612,B
48270,밀양시,35.494605,128.753421,B
48310,거제시,34.878321,128.73309,B
48330,양산시,35.332769,129.04185,B
48720,의령군,35.319867,128.257675,B
48730,함안군,35.276222,128.407853,B
48740,창녕군,35.542666,128.501826,B
48840,남해군,34.840763,127.895151,B
48850,하동군,35.071347,127.747414,B
48860,산청군,35.416919,127.877342,B
48870,함양군,35.51963,127.723679,B
48880,거창군,35.686525,127.905046,B
48890,합천군,35.565933,128.160016,B
50110,제주시,33.512844,126.527652,B
50130,서귀포시,33.248077,126.563275,B
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
